"k","cutoff","error"
"38_NN","0.3",0.33728813559322
"39_NN","0.3",0.370089730807577
"20_NN","0.35",0.403788634097707
"21_NN","0.35",0.378963110667996
"22_NN","0.35",0.428215353938185
"23_NN","0.35",0.404586241276171
"24_NN","0.35",0.383349950149551
"25_NN","0.35",0.421635094715852
"26_NN","0.35",0.402691924227318
"27_NN","0.35",0.383449651046859
"28_NN","0.35",0.431804586241276
"29_NN","0.35",0.409172482552343
"30_NN","0.35",0.390827517447657
"31_NN","0.35",0.431306081754736
"32_NN","0.35",0.409272183449651
"33_NN","0.35",0.38913260219342
"34_NN","0.35",0.439980059820538
"35_NN","0.35",0.422931206380857
"36_NN","0.35",0.407477567298106
"37_NN","0.35",0.445962113659023
"38_NN","0.35",0.428813559322034
"39_NN","0.35",0.460418743768694
"20_NN","0.4",0.473180458624128
"21_NN","0.4",0.443469591226321
"22_NN","0.4",0.500398803589232
"23_NN","0.4",0.474476570289133
"24_NN","0.4",0.515852442671984
"25_NN","0.4",0.496211365902293
"26_NN","0.4",0.469591226321037
"27_NN","0.4",0.509072781655035
"28_NN","0.4",0.484247258225324
"29_NN","0.4",0.530309072781655
"30_NN","0.4",0.506480558325025
"31_NN","0.4",0.493718843469591
"32_NN","0.4",0.532303090727817
"33_NN","0.4",0.512163509471585
"34_NN","0.4",0.543170488534397
"35_NN","0.4",0.520438683948156
"36_NN","0.4",0.501495513459621
"37_NN","0.4",0.542073778664008
"38_NN","0.4",0.52642073778664
"39_NN","0.4",0.563110667996012
"20_NN","0.45",0.557328015952144
"21_NN","0.45",0.521934197407777
"22_NN","0.45",0.580957128614157
"23_NN","0.45",0.550448654037886
"24_NN","0.45",0.592921236291127
"25_NN","0.45",0.566101694915254
"26_NN","0.45",0.609670987038883
"27_NN","0.45",0.580957128614157
"28_NN","0.45",0.613060817547358
"29_NN","0.45",0.591126620139581
"30_NN","0.45",0.571385842472582
"31_NN","0.45",0.605982053838485
"32_NN","0.45",0.584247258225324
"33_NN","0.45",0.619242273180459
"34_NN","0.45",0.598404785643071
"35_NN","0.45",0.622731804586241
"36_NN","0.45",0.608873379860419
"37_NN","0.45",0.635393818544367
"38_NN","0.45",0.619840478564307
"39_NN","0.45",0.644466600199402
"20_NN","0.5",0.630009970089731
"21_NN","0.5",0.661515453639083
"22_NN","0.5",0.638584247258225
"23_NN","0.5",0.667696909272184
"24_NN","0.5",0.647457627118644
"25_NN","0.5",0.677966101694915
"26_NN","0.5",0.65543369890329
"27_NN","0.5",0.689431704885344
"28_NN","0.5",0.666699900299103
"29_NN","0.5",0.695912263210369
"30_NN","0.5",0.681655034895314
"31_NN","0.5",0.70209371884347
"32_NN","0.5",0.681555333998006
"33_NN","0.5",0.702691924227318
"34_NN","0.5",0.683250249252243
"35_NN","0.5",0.710568295114656
"36_NN","0.5",0.695114656031904
"37_NN","0.5",0.717048853439681
"38_NN","0.5",0.704087736789631
"39_NN","0.5",0.725423728813559
"20_NN","0.55",0.684346959122632
"21_NN","0.55",0.718444666001994
"22_NN","0.55",0.685742771684945
"23_NN","0.55",0.719641076769691
"24_NN","0.55",0.698005982053838
"25_NN","0.55",0.727018943170489
"26_NN","0.55",0.70518444666002
"27_NN","0.55",0.73110667996012
"28_NN","0.55",0.709571286141575
"29_NN","0.55",0.733998005982054
"30_NN","0.55",0.757228315054835
"31_NN","0.55",0.741375872382851
"32_NN","0.55",0.763509471585244
"33_NN","0.55",0.746560319042871
"34_NN","0.55",0.766600199401795
"35_NN","0.55",0.749850448654038
"36_NN","0.55",0.77048853439681
"37_NN","0.55",0.754336989032901
"38_NN","0.55",0.7740777666999
"39_NN","0.55",0.791924227318046
"20_NN","0.6",0.748055832502493
"21_NN","0.6",0.772382851445663
"22_NN","0.6",0.742671984047856
"23_NN","0.6",0.775972083748754
"24_NN","0.6",0.797108673978066
"25_NN","0.6",0.773978065802592
"26_NN","0.6",0.796011964107677
"27_NN","0.6",0.774975074775673
"28_NN","0.6",0.79481555333998
"29_NN","0.6",0.817447657028913
"30_NN","0.6",0.798105682951147
"31_NN","0.6",0.81814556331007
"32_NN","0.6",0.801096709870389
"33_NN","0.6",0.818943170488534
"34_NN","0.6",0.834097706879362
"35_NN","0.6",0.82123629112662
"36_NN","0.6",0.833100697906281
"37_NN","0.6",0.815453639082752
"38_NN","0.6",0.83419740777667
"39_NN","0.6",0.842372881355932
"20_NN","0.65",0.803389830508475
"21_NN","0.65",0.828215353938185
"22_NN","0.65",0.804087736789631
"23_NN","0.65",0.823130608175474
"24_NN","0.65",0.843369890329013
"25_NN","0.65",0.820139581256231
